id,building,floor,type,label,lat,lng,uq_maps_identifier
n001,Building 63,1,room,197 - Circulation Space,-27.4989872,153.0120549,77e29029eaedfd1d8b065e0a7350b57c681af868c0c3805da6333165a75257f5
n002,Building 63,2,room,201 - Kitchen/Servery/Food Storage,-27.4990185,153.0118817,b06547a0edc26986eecb1153ca586d76522814c3cb7f35b6a542b7c35eb0a9d4
n003,Building 63,2,room,202 - Kitchen/Servery/Food Storage,-27.4990078,153.0118520,11aa0403bf11d10499f2c8c6d2b29f1344df4ae27a8db007e2fd83ba073d8f05
n004,Building 63,2,room,203 - Toilet/Amenities-Female / AMBULANT TOILET,-27.4989693,153.0118227,9b9319e056029b24aa99c5cad42127a9211540d3f968ed274638352179cb340d
n005,Building 63,2,room,204 - Cleaners Room,-27.4989360,153.0118256,688e9c0cae023d3d5fdc740c1d7f1070fa6cc3d8f73f2460c184923167eafcc0
n006,Building 63,2,room,205 - Toilet/Amenities-Male / AMBULANT TOILET,-27.4989209,153.0118586,4bc4771b7b1883e5c87ce7afbc459b0fd047c4bf5eae5fe71f912cd8dbd550d5
n007,Building 63,2,room,206 - Parenting Room,-27.4989421,153.0118909,fa19ce576103ae983f6c743dde95a4922b565f6b3b96a1a0bdfabcc01d53337a
n008,Building 63,2,room,207 - Toilet/Amenities-All Gender,-27.4989609,153.0118799,d0f747a687cf6ac26424a65a4c2e889eac2a029dbe2a24983f03a4ad03344a66
n009,Building 63,2,room,208 - Toilet/Amenities-All Gender Accessible,-27.4989752,153.0118732,543213d72b7acb501c682f436836fe0665fc70395671d01bd4ba0dcc5dcdff36
n010,Building 63,2,room,209 - Kitchen/Servery/Food Storage,-27.4989842,153.0118587,c1328a1ade0197ffdd886018a954dd83a13ace37475f89aac97bb27281a3d938
n011,Building 63,2,room,209A - ELECTRICAL RISER / DB,-27.4989891,153.0118722,7eaf64dcbc52c8ff9bfa8e7219465bf804a5126188c47028e352c233ab3599d8
n012,Building 63,2,room,210 - COMMS STRUC CABLING SYSTEM RISER,-27.4989948,153.0118881,7ef88191ed4dec4ce9b16d0ca6c561cec7a422640acca19cd77d6a5b5945fbed
n013,Building 63,2,room,211 - FIRE RISER,-27.4989993,153.0119005,c8b8ae8a6e0a8b2bf55cb75a6e18cf5fd7bdacbf34ec6bd7483ced680774674f
n014,Building 63,2,room,214 - Study Spot - Common,-27.4989727,153.0120659,8c0eb1145bfcb6cff0ed3402cc4d714f7d47e00a193ffaa92d36ed7e44d984fd
n015,Building 63,2,room,217 - Study Spot - Common,-27.4991796,153.0123132,449dc1b410eef4c94e8dd655c1d3c4ad3b81b75f77c6b29a03c978f2eb6f8937
n016,Building 63,2,room,220 - Study Spot - External,-27.4992233,153.0121950,49801c48e7ba60920b05dd6a7f076a0ab2fec4563ac00607c4c40062a4bb2e90
n017,Building 63,2,room,221 - Study Spot - Common,-27.4991680,153.0121955,76d71ef2feff8ddeef133887f1c3e49bb4a16f1ca2cb3a52cb94af6e9f44e78c
n018,Building 63,2,room,231 - Dining Area,-27.4989229,153.0121483,e61807a9550cc64463ffca726e97913d0d203399c1fc364d7f5da3310dc5c2b2
n019,Building 63,2,room,232 - Study Spot - External,-27.4989442,153.0122140,cae58ab14bf5eece7b276a4372d75cdbb41a69fc4ac2df5c6b238c92d6072181
n020,Building 63,2,room,233 - Study Spot - External,-27.4992271,153.0124135,7c5b8ada9c938a7de09992636572028ec7fbd117b51ce66115cf2d27c4a37d71
n021,Building 63,2,room,241 - Waste Management,-27.4990281,153.0118444,973cee2910fdead1e78252c68fddb6ebda62d37ecb0d4df2010e6749a820327d
n022,Building 63,2,room,243 - OTHER COVERED AREA,-27.4991821,153.0121003,9786fdebbe2a6ecb97c47d6f1a2a9aa7dd53add2350e0ba6f7828c3bbdbbe9dc
n023,Building 63,2,room,292 - OTHER COVERED AREA,-27.4989074,153.0120496,ea5a6d29acf751731bbe065f91a8ff470f37696aeb94c665a0e7d3a63a46fae7
n024,Building 63,2,room,296 - Circulation Space,-27.4989775,153.0118481,b0ec2f5cee71793d171a16291b99c5e50722eca88dfde589bdcdacfc4aafe7b4
n025,Building 63,2,lift,298 - Lift,-27.4991808,153.0124788,d6df2806ac826489bf57e7014c5c8b2f4a675c41d6fbdbe71e3643b2637a289e
n026,Building 63,2,lift,299 - Lift / Hand Sanitiser,-27.4988090,153.0119567,4aa2fea28c7229d74ea543b4a01129ce5f58e52b5b913673b87a4b7547a2bc83
n027,Building 63,2,room,Boost Juice,-27.4991362,153.0122879,755740edb3e0cedd7e264c8aa38ebc5643f234d5d92ee913fd33476d84ec35ce
n028,Building 63,2,room,Guzman y Gomez,-27.4990961,153.0119555,37acfd8a4b56a8f1c5ed7cf15945b727cc8557583ac3e72b6f50e61171d62085
n029,Building 63,2,room,Kenko Sushi (Phizz),-27.4991282,153.0120440,9aab34ba13f852cf8824ebcde7f68d5fd8d54f62c474edceaa5adcd0e44f3563
n030,Building 63,2,room,Market Cart,-27.4990022,153.0121535,bcef034dbcc44220b1ff2fbe3e9b58bcd612cdbe4ae1fb3c5877faeabba749c7
n031,Building 63,2,room,Oriental Corner,-27.4991401,153.0121160,dbb22fefc9f82f7d8167522b64334ae43ee186b90b19f7725ff49e7cd50de68d
n032,Building 63,2,room,Phizz Food Court,-27.4990534,153.0121464,4787e0d5866c0e6170065f5053c98047421e675a633df97cff95ab7c155ab3bf
n033,Building 63,2,room,ShareTea,-27.4991825,153.0122666,ee2ec610d45b77c871dcfd02f3c579aa3b68ebdd751e9e029e373b537484d79a
n034,Building 63,2,room,Subway,-27.4989570,153.0119285,623511c00915ed93f51bec460a10d25d0e0a47ba2673a74c09d2bc33575c42a0
n035,Building 63,2A,room,251 - Plant Room-Mechanical,-27.4989442,153.0118519,896e6aa45e074e26ffd5ae40e07479d1bd134669c09b131898d51d25292206c4
n036,Building 63,2A,room,252 - AMBULANT TOILET / TOILET,-27.4989730,153.0118133,archibus_0100632A252
n037,Building 63,3,room,348 - Lecture Theatre 100 or more seats,-27.4989801,153.0119364,84def150556d8ce74979f03fb511b79b96b20645d00fb3b64e03c64fe1542a23
n038,Building 63,3,stairs,349 - Ancillary-Type Not Defined,-27.4989051,153.0119470,0397c0569a3e873407821f10af7c24035e7029af11d2f07cb7bce139a4a8cea7
n039,Building 63,3,room,352 - Office-Professional/General Staff,-27.4990613,153.0119595,8d237734e77ecd2c7268a102e565dc26b58083672f61871b310a094770277cbe
n040,Building 63,3,room,353 - Cleaners Room,-27.4989412,153.0120144,d18a9dd9e41cc272378e2d0a6fd78b41e197d22e5928f48e3380393071fc67a4
n041,Building 63,3,room,355 - Office-Professional/General Staff,-27.4991557,153.0120394,archibus_0100633355
n042,Building 63,3,room,358 - Lecture Theatre 100 or more seats,-27.4990093,153.0121786,16d9cf71c0793590e4ddcf9c89d1213a8a7eec4c15ecc90558932eb694598141
n043,Building 63,3,room,360 - Lecture Theatre 100 or more seats,-27.4991138,153.0121299,1ecdf288108ececdbb5624665e9f8b3526e1fd4ee5b54186084a24d45e6abba9
n044,Building 63,3,room,362 - Archive Storage,-27.4990497,153.0119004,b57e4aafc15d9ba32c791d70d0acafed5cacaa0e67f9d73cd7ff3cad44dafd94
n045,Building 63,3,room,397 - Study Spot - Common / Circulation Space,-27.4990115,153.0120163,7f3fbd0ce1fb4ddf154752d35b0cf72cdf76a868e66d14818d9f92708d26b81f
n046,Building 63,3,stairs,398 - Stairs,-27.4989231,153.0121460,1df9e3f346373c89aba7805cb192314686ff3b00712280c7d8d8dc4b95d588fe
n047,Building 63,3,lift,399 - Lift,-27.4988101,153.0119568,84262c1097c854dd870c78402112a0528e9e9c51de7bbb8e4019f616138958ca
n048,Building 63,4,room,462 - Archive Storage,-27.4990513,153.0119509,b3b4d6a3ea71abbf734c09a75520eaeceb90bb420190091c1c684ddc09de4f5b
n049,Building 63,4,room,463 - Other Storage/Warehouse,-27.4989430,153.0120004,f07ad848537eda2d8adb0bd065013e87b0c51712a629c6a3478c4540dfe60e90
n050,Building 63,4,room,465 - Office-Professional/General Staff ,-27.4991555,153.0120395,archibus_0100634465
n051,Building 63,4,room,497 - Study Spot - Common / Circulation Space,-27.4990082,153.0120141,47e651ba302e82d071e0cc4b100d28a7eafd617313a9d9e37bfdfced3e246505
n052,Building 63,4,stairs,498 - Stairs,-27.4989252,153.0121513,a34c0d07db48920702f0d50ea196ec51c632470011ac078d0ba438cc84435d20
n053,Building 63,5,room,502 - Plant Room-Mechanical,-27.4989832,153.0119724,de096798eddc54a4f65f7323957272752562b269f7c6f92d89c034d05f9e3dd6
n054,Building 63,5,room,504 - COMMS STRUC CABLING SYSTEM ROOM,-27.4990482,153.0119312,8e005c37092a5be89de78670cbb75a5b591cb84ff86f584fcb364bd02a18b045
n055,Building 63,5,room,506 - Plant Room-Mechanical,-27.4990465,153.0121015,b7ca7288d6877e5f658aeec16dfa2964f5470a0842165cfb3a71a493a1f7ed5d
