| id | building | floor | type | label | lat | lng | uq_maps_identifier |

| 141 | 67 | 1 | Study Spot - Common|zLevel=1 | lat=-27.49903260343003 | lng=153.0129796679464 | identifier=4c3af8c89bef75d5b94385450f0bcab52cf4efc413f73c8347b1ad305a50a6ed |

| 140B | 67 | 1 | Study Spot - Common | zLevel=1 | lat=-27.49903260343003 | lng=153.0129796679464 | identifier=cf4423ba8c89a8a758f5937a016d5d161818451ffb53ac35b4c4c08fe5dd5d00 |

| 145 | 67 | 1 | Collaborative Flat Floor Classroom | zLevel=1 | lat=-27.499056829358757 | lng=153.0130112169997 | identifier=e86bc4c163dfadaaa517f9f5ddc96fd5a6f82f9c6e16516446e1cf82bfd1edcb |

| 146 | 67 | 1 | Collaborative Flat Floor Classroom | zLevel=1 | lat=-27.499056829358757 | lng=153.0130112169997 | identifier=e661d972cd77f2adba9c08f73b0912e4f98155d1e77fbc58bc536c676ed1e06c |

| 150 | 67 | 1 | Toilet/Amenities-All Gender Accessible | zLevel=1 | lat=-27.49906025448405 | lng=153.01291692618292 | identifier=781713645598b9ef5abfd75888876b6b89538a46b18ca9e33bb11e7edfbb0e32 |

| 241 | 67 | 2 | Open Plan-Professional/General Staff|zLevel=2 | lat=-27.49905109741737 | lng=153.01299103439203 | identifier=0f52223e302cb95bc41eeecc67f23aed8bfd36f1140ecc46b5935f9904c1295d |

| 243 | 67 | 2 | Study Spot - Common|zLevel=2 | lat=-27.499065641436154 | lng=153.01302613397525 | identifier=24860bbe80e96a6bc3e4eaa90a3c57a8c5c741594e877c6094614d2184b83f13 |

| 243 | 67 | 2 | Study Spot - Common|zLevel=2 | lat=-27.499065641436154 | lng=153.01302613397525 | identifier=85e9b3d2311cadad1906176a8e8ad1a456100d6f42b00a7f9ba7b70b0c842a33 |

| 343 | 67 | 3 | Collaborative Flat Floor Classroom | zLevel=3 | lat=-27.49904231651844 | lng=153.01299457421828 | identifier=0a81b94b9668c5803bb5dddbb559b53aa68c5384126c090785243c1dd1fb23d6 |

| 343 | 67 | 3 | Collaborative Flat Floor Classroom | zLevel=3 | lat=-27.49907966947609 | lng=153.0130151184485 | identifier=0cf6ffd3f6768877ea7c0a043073e5ceefa14feaa978d6fad264e427f16b7704 |

| 443 | 67 | 4 | Collaborative Flat Floor Classroom | zLevel=4 | lat=-27.499057320158066 | lng=153.01300669746865 | identifier=87f6688d80689233984cbc3a0ca67c3c2d9fa6b650f1dbd72cde41fc87c52cdc |

| 442 | 67 | 4 | Collaborative Flat Floor Classroom | zLevel=4 | lat=-27.499057320158066 | lng=153.01300669746865 | identifier=4e3cfaf30fe08b787e3f56b67ca47014cb574bb08a94e8dfc851b69312001db2 |

| 448 | 67 | 4 | Resource Room | zLevel=4 | lat=-27.499057320158066 | lng=153.01300669746865 | identifier=317730fcfc94a471308e5cebaac808d62c5fb3355fa81d5f53ebb43249629cba |

| 549 | 67 | 5 | Office-Academic Staff | zLevel=5 | lat=-27.499051923427025 | lng=153.01299546827283 | identifier=ef73deca582e05c28133bbccaa43cffebb15d970b6007d90ca3a885def3758e3 |

| 548 | 67 | 5 | Office-Academic Staff | zLevel=5 | lat=-27.499051923427025 | lng=153.01299546827283 | identifier=b31294a3d49d5a8d65e29dbf9a61acf5424161c7b652c00c1ba78124745dfb13 |

| 547 | 67 | 5 | Office-Academic Staff | zLevel=5 | lat=-27.499051923427025 | lng=153.01299546827283 | identifier=7f17d874780435b0867d3f3f8ec837b90ad83f89b1a762a3571249ba8a0925a9 |

| 546 | 67 | 5 | Office-Academic Staff | zLevel=5 | lat=-27.499051923427025 | lng=153.01299546827283 | identifier=5610051a611fe1540d067c9ebd200c4eeacfd51bb2c575ecc45ca2309210bbc3 |

| 545 | 67 | 5 | Office-Academic Staff | zLevel=5 | lat=-27.499051923427025 | lng=153.01299546827283 | identifier=a3e52e2c12ce907c6be5cb0461723c7f095f4da3cfeb78d75314867299a53ff3 |


| id | building | floor | type | label | lat | lng | uq_maps_identifier |

| id | building | floor | type | label | lat | lng | uq_maps_identifier |







