edge_id,from_lng,from_lat,to_lng,to_lat,length_m,z,building_id,travel_mode,travel_type,time_estimate_seconds,flags,transit_info,source,geometry_geojson,discovered_via
1894618,153.0124059,-27.4989556,153.0124115,-27.4989411,1.7,1.0,1000004,PEDESTRIAN,FOOT,2.159,[],,mazemap,"{""type"": ""LineString"", ""coordinates"": [[153.0124059, -27.4989556], [153.0124115, -27.4989411]]}",latlng_or_poiid_hc_false
1894620,153.01239,-27.4989517,153.0123959,-27.4989365,1.8,1.0,1000004,PEDESTRIAN,FOOT,2.286,[],,mazemap,"{""type"": ""LineString"", ""coordinates"": [[153.01239, -27.4989517], [153.0123959, -27.4989365]]}",latlng_or_poiid_hc_false
1894621,153.0123959,-27.4989365,153.0124198,-27.4988817,6.5,1.0,1000004,PEDESTRIAN,FOOT,16.51,"[""NO_HC"", ""STAIR""]",,mazemap,"{""type"": ""LineString"", ""coordinates"": [[153.0123959, -27.4989365], [153.0124198, -27.4988817]]}",latlng_or_poiid_hc_false
1894622,153.0124198,-27.4988817,153.0124114,-27.4988781,0.9,1.0,1000004,PEDESTRIAN,FOOT,1.143,[],,mazemap,"{""type"": ""LineString"", ""coordinates"": [[153.0124198, -27.4988817], [153.0124114, -27.4988781]]}",latlng_or_poiid_hc_false
1894624,153.0124398,-27.4988845,153.0124115,-27.4989411,6.9,1.0,1000004,PEDESTRIAN,FOOT,17.526,"[""NO_HC"", ""STAIR""]",,mazemap,"{""type"": ""LineString"", ""coordinates"": [[153.0124398, -27.4988845], [153.0124115, -27.4989411]]}",latlng_or_poiid_hc_false
1894625,153.0121624,-27.4988588,153.0121807,-27.4988656,2.0,1.0,1000004,PEDESTRIAN,FOOT,5.08,"[""NO_HC"", ""STAIR""]",,mazemap,"{""type"": ""LineString"", ""coordinates"": [[153.0121624, -27.4988588], [153.0121807, -27.4988656]]}",latlng_or_poiid_hc_false
1894626,153.0121807,-27.4988656,153.0121768,-27.4988743,1.0,1.0,1000004,PEDESTRIAN,FOOT,1.27,[],,mazemap,"{""type"": ""LineString"", ""coordinates"": [[153.0121807, -27.4988656], [153.0121768, -27.4988743]]}",latlng_or_poiid_hc_false
1894627,153.0121738,-27.4988809,153.0121807,-27.4988656,1.8,1.0,1000004,PEDESTRIAN,FOOT,2.286,[],,mazemap,"{""type"": ""LineString"", ""coordinates"": [[153.0121738, -27.4988809], [153.0121807, -27.4988656]]}",latlng_or_poiid_hc_false
1894628,153.0121301,-27.4988649,153.012156,-27.4988744,2.8,1.0,1000004,PEDESTRIAN,FOOT,7.111999999999999,"[""NO_HC"", ""STAIR""]",,mazemap,"{""type"": ""LineString"", ""coordinates"": [[153.0121301, -27.4988649], [153.012156, -27.4988744]]}",latlng_or_poiid_hc_false
1898097,153.0121273,-27.4988463,153.0121624,-27.4988588,3.7,1.0,1000004,PEDESTRIAN,FOOT,4.699000000000001,[],,mazemap,"{""type"": ""LineString"", ""coordinates"": [[153.0121273, -27.4988463], [153.0121624, -27.4988588]]}",latlng_or_poiid_hc_false
1907907,153.0122891,-27.4988383,153.012279,-27.4988347,1.1,1.0,1000004,PEDESTRIAN,FOOT,1.3970000000000002,[],,mazemap,"{""type"": ""LineString"", ""coordinates"": [[153.0122891, -27.4988383], [153.012279, -27.4988347]]}",latlng_or_poiid_hc_false
1907909,153.0123176,-27.4988486,153.0122891,-27.4988383,3.0,1.0,1000004,PEDESTRIAN,FOOT,3.81,[],,mazemap,"{""type"": ""LineString"", ""coordinates"": [[153.0123176, -27.4988486], [153.0122891, -27.4988383]]}",latlng_or_poiid_hc_false
1907917,153.0123041,-27.498878,153.0123176,-27.4988486,3.5,1.0,1000004,PEDESTRIAN,FOOT,4.445,[],,mazemap,"{""type"": ""LineString"", ""coordinates"": [[153.0123041, -27.498878], [153.0123176, -27.4988486]]}",latlng_or_poiid_hc_false
1907921,153.012279,-27.4988347,153.0121469,-27.498787,14.1,1.0,1000004,PEDESTRIAN,FOOT,17.907,[],,mazemap,"{""type"": ""LineString"", ""coordinates"": [[153.012279, -27.4988347], [153.0121469, -27.498787]]}",latlng_or_poiid_hc_false
1907924,153.0122656,-27.4988638,153.012279,-27.4988347,3.5,1.0,1000004,PEDESTRIAN,FOOT,4.445,[],,mazemap,"{""type"": ""LineString"", ""coordinates"": [[153.0122656, -27.4988638], [153.012279, -27.4988347]]}",latlng_or_poiid_hc_false
1907928,153.0121219,-27.4988443,153.0121143,-27.498861,2.0,1.0,1000004,PEDESTRIAN,FOOT,2.54,[],,mazemap,"{""type"": ""LineString"", ""coordinates"": [[153.0121219, -27.4988443], [153.0121143, -27.498861]]}",latlng_or_poiid_hc_false
1907933,153.0121292,-27.4988284,153.0121219,-27.4988443,1.9,1.0,1000004,PEDESTRIAN,FOOT,2.413,[],,mazemap,"{""type"": ""LineString"", ""coordinates"": [[153.0121292, -27.4988284], [153.0121219, -27.4988443]]}",latlng_or_poiid_hc_false
1907939,153.0121035,-27.4988191,153.0121292,-27.4988284,2.7,1.0,1000004,PEDESTRIAN,FOOT,3.4290000000000003,[],,mazemap,"{""type"": ""LineString"", ""coordinates"": [[153.0121035, -27.4988191], [153.0121292, -27.4988284]]}",latlng_or_poiid_hc_false
