from_id,to_id,weight
n001,n002,144.0
n001,n003,147.2
n001,n004,159.0
n001,n005,157.1
n001,n006,155.3
n001,n007,155.4
n001,n008,154.1
n001,n009,151.9
n001,n010,147.5
n001,n011,146.0
n001,n012,144.3
n001,n013,143.0
n001,n014,124.4
n001,n015,99.0
n001,n016,114.1
n001,n017,115.9
n001,n018,109.6
n001,n019,104.0
n001,n020,97.4
n001,n021,149.1
n001,n022,120.1
n001,n023,114.7
n001,n024,150.8
n001,n025,104.3
n001,n026,76.1
n001,n027,102.9
n001,n028,141.2
n001,n029,130.1
n001,n030,115.7
n001,n031,120.1
n001,n032,110.3
n001,n033,108.5
n001,n034,147.4
n001,n035,152.7
n001,n036,154.2
n001,n037,76.9
n001,n038,80.2
n001,n039,70.4
n001,n040,71.6
n001,n041,60.7
n001,n042,70.5
n001,n043,69.3
n001,n044,83.4
n001,n045,68.5
n001,n046,60.5
n001,n047,76.1
n001,n048,80.0
n001,n049,81.3
n001,n050,68.7
n001,n051,73.5
n001,n052,62.7
n001,n053,125.4
n001,n054,81.8
n001,n055,80.5
n002,n003,6.0
n002,n004,17.8
n002,n005,15.9
n002,n006,14.1
n002,n007,14.2
n002,n008,12.9
n002,n009,10.7
n002,n010,6.3
n002,n011,4.8
n002,n012,3.1
n002,n013,3.6
n002,n014,23.1
n002,n015,58.9
n002,n016,49.5
n002,n017,40.2
n002,n018,42.4
n002,n019,48.0
n002,n020,78.7
n002,n021,14.7
n002,n022,32.8
n002,n023,27.8
n002,n024,9.6
n002,n025,85.6
n002,n026,58.0
n002,n027,40.8
n002,n028,13.0
n002,n029,23.3
n002,n030,37.1
n002,n031,32.8
n002,n032,32.7
n002,n033,44.1
n002,n034,11.2
n002,n035,55.9
n002,n036,57.4
n002,n037,77.7
n002,n038,82.5
n002,n039,98.9
n002,n040,88.3
n002,n041,103.7
n002,n042,87.2
n002,n043,99.9
n002,n044,94.0
n002,n045,87.2
n002,n046,77.2
n002,n047,58.1
n002,n048,102.0
n002,n049,92.7
n002,n050,118.7
n002,n051,96.1
n002,n052,79.4
n002,n053,136.8
n002,n054,154.1
n002,n055,139.4
n003,n004,14.6
n003,n005,12.7
n003,n006,10.9
n003,n007,11.0
n003,n008,9.7
n003,n009,7.5
n003,n010,3.1
n003,n011,3.8
n003,n012,5.5
n003,n013,6.8
n003,n014,26.3
n003,n015,62.1
n003,n016,52.7
n003,n017,43.4
n003,n018,45.6
n003,n019,51.2
n003,n020,81.9
n003,n021,17.9
n003,n022,36.0
n003,n023,31.0
n003,n024,6.4
n003,n025,88.8
n003,n026,61.2
n003,n027,44.0
n003,n028,16.2
n003,n029,26.5
n003,n030,40.3
n003,n031,36.0
n003,n032,35.9
n003,n033,47.3
n003,n034,14.4
n003,n035,59.1
n003,n036,60.6
n003,n037,80.9
n003,n038,85.7
n003,n039,102.1
n003,n040,91.5
n003,n041,106.9
n003,n042,90.4
n003,n043,103.1
n003,n044,97.2
n003,n045,90.4
n003,n046,80.4
n003,n047,61.3
n003,n048,105.2
n003,n049,95.9
n003,n050,121.9
n003,n051,99.3
n003,n052,82.6
n003,n053,140.0
n003,n054,157.3
n003,n055,142.6
n004,n005,5.5
n004,n006,7.7
n004,n007,8.0
n004,n008,9.3
n004,n009,11.5
n004,n010,14.1
n004,n011,15.6
n004,n012,17.3
n004,n013,18.6
n004,n014,38.1
n004,n015,73.9
n004,n016,64.5
n004,n017,55.2
n004,n018,57.4
n004,n019,63.0
n004,n020,93.7
n004,n021,29.7
n004,n022,47.8
n004,n023,42.8
n004,n024,10.4
n004,n025,100.6
n004,n026,73.0
n004,n027,55.8
n004,n028,28.0
n004,n029,38.3
n004,n030,52.1
n004,n031,47.8
n004,n032,47.7
n004,n033,59.1
n004,n034,26.2
n004,n035,70.9
n004,n036,72.4
n004,n037,92.7
n004,n038,97.5
n004,n039,113.9
