from_id,to_id,weight
1192699,1192705,6.45
1192699,1192702,12.42
1192699,1192703,14.06
1192699,1192701,14.86
1192700,1192702,3.89
1192700,1192701,5.95
1192700,1192703,11.89
1192700,1192706,14.08
1192701,1192702,8.43
1192701,1192706,8.94
1192701,1192704,10.55
1192702,1192703,8.38
1192703,1192701,16.76
1192704,1192706,5.8
1192704,1192705,14.64
1192704,1192700,16.49
1192705,1192701,12.34
1192705,1192702,13.94
1192706,1192702,17.23
1192707,1192722,3.56
1192707,1192718,6.48
1192707,1192725,6.53
1192707,1192727,9.2
1192708,1192714,7.02
1192708,1192712,7.06
1192708,1192710,7.49
1192708,1192719,7.73
1192709,1192717,9.16
1192709,1192724,9.34
1192709,1192712,11.22
1192709,1192720,12.51
1192710,1192720,3.97
1192710,1192712,4.22
1192710,1192717,5.0
1192710,1192726,5.15
1192711,1192713,6.13
1192711,1192715,6.19
1192711,1192726,10.66
1192711,1192725,11.07
1192712,1192717,5.27
1192712,1192720,6.83
1192713,1192725,4.96
1192713,1192726,7.63
1192713,1192707,9.98
1192714,1192721,4.42
1192714,1192719,6.19
1192714,1192716,6.36
1192715,1192724,9.87
1192715,1192720,10.83
1192715,1192713,11.55
1192716,1192719,4.09
1192716,1192721,6.52
1192716,1192708,10.92
1192717,1192724,2.08
1192717,1192720,3.48
1192718,1192727,2.72
1192718,1192722,2.92
1192718,1192728,6.47
1192719,1192721,8.74
1192720,1192724,3.48
1192720,1192726,4.65
1192721,1192708,11.45
1192722,1192727,5.64
1192722,1192725,5.99
1192724,1192710,6.42
1192724,1192712,7.34
1192725,1192728,6.28
1192726,1192717,7.97
1192727,1192728,5.96
1192727,1192725,8.78
1192728,1192722,8.08
1192729,1192731,9.15
1192729,1192736,9.36
1192729,1192741,11.11
1192729,1192732,12.52
1192730,1192737,8.66
1192730,1192736,9.87
1192730,1192732,10.83
1192730,1192742,11.38
1192731,1192736,2.08
1192731,1192732,3.51
1192731,1192741,4.99
1192731,1192737,6.32
1192732,1192737,3.21
1192732,1192736,3.47
1192732,1192733,4.43
1192733,1192742,1.53
1192733,1192737,4.11
1192733,1192731,7.79
1192734,1192743,3.55
1192734,1192739,5.27
1192734,1192738,9.53
1192734,1192735,11.74
1192735,1192741,6.87
1192735,1192743,8.2
1192735,1192739,10.78
1192735,1192733,10.84
1192736,1192737,5.33
1192736,1192741,7.06
1192737,1192742,3.25
1192738,1192739,4.27
1192738,1192743,8.84
1192738,1192735,12.11
1192739,1192743,5.01
1192740,1192742,9.14
1192740,1192733,9.37
1192740,1192737,12.1
1192740,1192732,13.73
1192741,1192732,6.56
1192742,1192732,4.69
1192742,1192736,7.88
1192744,1192767,3.62
1192744,1192749,6.37
1192744,1192765,7.1
1192744,1192753,7.33
1192745,1192760,3.47
1192745,1192753,3.49
1192745,1192756,3.57
1192745,1192747,4.44
1192746,1192766,2.88
1192746,1192758,5.22
1192746,1192747,5.56
1192746,1192755,6.06
1192747,1192766,4.02
1192747,1192756,4.37
1192748,1192763,3.51
1192748,1192752,5.0
1192748,1192768,8.12
1192748,1192769,8.35
1192749,1192767,6.45
1192749,1192751,6.46
1192749,1192765,9.3
1192750,1192769,3.95
1192750,1192768,7.04
1192750,1192753,9.4
1192750,1192744,10.01
1192751,1192765,6.37
1192751,1192767,6.45
1192751,1192744,9.3
1192752,1192761,4.28
1192752,1192763,5.26
1192752,1192769,11.12
1192753,1192760,2.08
1192753,1192756,6.59
1192753,1192765,6.67
1192754,1192764,6.25
1192754,1192756,7.78
1192754,1192757,8.62
1192754,1192766,10.43
1192755,1192758,5.04
1192755,1192762,5.06
1192755,1192766,8.39
1192756,1192760,5.51
1192757,1192758,4.9
1192757,1192766,6.03
1192757,1192759,6.27
1192757,1192746,7.69
1192758,1192762,4.51
1192759,1192762,4.46
1192759,1192758,5.54
1192759,1192755,8.94
1192760,1192765,5.87
1192761,1192748,8.82
1192761,1192763,9.53
1192761,1192750,11.32
1192762,1192757,8.35
1192763,1192768,11.38
1192764,1192756,8.39
1192764,1192760,9.92
1192764,1192745,10.89
1192765,1192767,3.64
1192766,1192758,5.71
1192768,1192769,3.09
1192768,1192746,9.96
1192769,1192747,10.53
1192770,1003218328,3.49
1192770,1192793,3.53
1192770,1192776,3.71
1192770,1192786,4.43
1192771,1192772,5.65
1192771,1192794,8.36
1192771,1192780,9.92
1192771,1192788,10.77
1192772,1192780,4.28
1192772,1192773,8.25
1192772,1192794,9.34
1192773,1192788,4.33
1192773,1192777,6.27
1192773,1192794,7.11
1192773,1192780,8.21
1192774,1192781,6.37
1192774,1192778,6.45
1192774,1192790,6.48
1192774,1192785,9.31
1192775,1192786,9.36
1192775,1192776,11.68
1192775,1192783,11.7
1192775,1192782,13.01
1192776,1192791,4.0
1192776,1192786,4.07
1192776,1192793,5.92
1192777,1192788,6.04
1192777,1003218328,6.49
1192777,1192783,7.11
1192778,1192781,3.64
1192778,1192785,3.64
1192778,1192790,6.46
1192779,1192792,3.34
1192779,1192791,3.34
1192779,1192787,4.02
1192779,1192789,5.96
1192780,1192788,11.4
1192781,1192793,5.81
1192781,1003218328,6.67
1192782,1192787,3.16
1192782,1192791,4.77
1192782,1192784,5.8
1192782,1192779,6.33
1192783,1192788,5.46
1192783,1192794,6.19
1192783,1192786,7.65
1192784,1192787,3.65
1192784,1192789,5.38
1192784,1192779,6.65
1192785,1192790,6.37
1192785,1192781,7.11
1192785,1003218328,7.34
1192786,1003218328,7.76
1192787,1192791,4.38
1192788,1192794,3.58
1192789,1192792,6.19
1192789,1192787,6.49
1192790,1192781,9.31
1192792,1192791,6.08
1192792,1192781,7.01
1192793,1003218328,2.08
1192653,1192662,4.45
1192653,1192697,4.98
1192653,1192687,5.33
1192653,1192669,6.09
1192655,1003219185,3.18
1192655,1192660,3.35
1192655,1192669,6.43
1192655,1192691,6.61
1192656,1192698,3.55
1192656,1192677,4.0
1192656,1192679,4.77
1192656,1003219184,5.74
1192657,1192665,3.58
1192657,1192672,4.67
1192657,1192668,6.41
1192657,1192670,8.69
1192659,1192671,4.23
1192659,1003219186,4.81
1192659,1192663,5.65
1192659,1192662,6.66
1192660,1192669,3.09
1192660,1003219185,6.51
1192660,1192697,8.01
1192661,1192678,3.87
1192661,1192688,4.67
1192661,1192674,6.5
1192661,1192687,7.52
1192662,1192675,3.45
1192662,1192663,3.52
1192662,1003219186,5.44
1192663,1192675,2.09
1192663,1003219186,2.15
1192664,1192676,4.28
1192664,1192691,4.98
1192664,1192673,5.64
1192664,1192693,7.2
1192665,1192668,7.9
1192665,1192672,8.26
1192665,1192670,11.93
1192668,1192672,7.22
1192668,1003219186,8.09
1192669,1192697,5.34
1192670,1192677,3.88
1192670,1192672,5.19
1192670,1192695,6.1
1192670,1192675,6.2
1192671,1192693,3.98
1192671,1192655,8.09
1192671,1192660,8.26
1192672,1192675,5.68
1192672,1192663,6.59
1192673,1192691,3.68
1192673,1003219185,6.67
1192673,1192655,9.79
1192674,1192697,6.33
1192674,1192688,6.43
1192674,1192678,8.6
1192675,1003219186,4.02
1192676,1192693,6.89
1192676,1192691,8.8
1192676,1192673,9.92
1192677,1192698,3.88
1192677,1192695,5.42
1192678,1192687,3.75
1192678,1003219184,6.51
1192678,1192697,7.58
1192679,1192695,5.65
1192679,1192677,6.46
1192679,1003219184,6.9
1192687,1192698,5.0
1192687,1192656,6.43
1192688,1192678,8.54
1192688,1192697,11.37
1192691,1003219185,3.45
1192693,1003219185,7.57
1192695,1192656,7.45
1192697,1192687,7.22
1192698,1192662,6.17
1003219184,1192687,7.14
1192614,1192620,3.19
1192614,1192650,3.35
1192614,1003220765,3.64
1192614,1003220762,6.44
1192616,1192622,3.09
1192616,1192645,3.35
1192616,1003220763,4.1
1192616,1192633,6.51
1192617,1192632,4.28
1192617,1192629,6.88
1192617,1192643,8.81
1192617,1192651,9.54
1192618,1003220761,3.78
1192618,1192622,3.95
1192618,1003220764,4.72
1192618,1192624,6.48
1192619,1192628,3.17
1192619,1192646,5.65
1192619,1192638,6.31
1192619,1192648,6.5
1192620,1003220762,3.9
1192620,1003220765,5.22
1192620,1003220764,6.32
1192621,1192629,3.98
1192621,1192634,4.18
1192621,1003220763,4.27
1192621,1192623,7.53
1192622,1003220763,5.8
1192622,1003220761,6.09
1192623,1192630,2.46
1192623,1192634,3.4
1192623,1192641,3.75
1192623,1192635,4.39
1192624,1003220765,4.25
1192624,1192650,7.64
1192624,1192614,7.9
1192625,1192646,4.45
1192625,1003220762,5.39
1192625,1192644,5.79
1192625,1192638,6.28
1192626,1192636,3.18
1192626,1192647,5.68
1192626,1192631,6.51
1192626,1192639,7.13
1192627,1192631,3.18
1192627,1192647,5.56
1192627,1192630,6.34
1192627,1192623,6.4
1192628,1192648,3.35
1192628,1192646,3.72
1192628,1192649,6.43
1192629,1003220763,6.1
1192629,1192632,7.18
1192630,1192635,2.1
1192630,1192641,3.47
1192630,1192637,5.74
1192631,1192636,3.34
1192631,1192647,3.67
1192632,1192643,4.98
1192632,1192651,5.26
1192633,1192645,3.17
1192633,1192643,3.44
1192633,1003220763,5.81
1192634,1003220763,5.68
1192634,1192630,5.75
1192635,1192641,3.45
1192635,1192637,4.98
1192636,1192647,3.73
1192636,1192627,6.51
1192637,1192640,4.42
1192637,1192649,5.47
1192638,1192644,4.16
1192638,1192646,4.52
1192639,1192640,4.0
1192639,1192647,6.17
1192639,1192636,8.02
1192640,1192647,4.27
1192640,1192636,7.64
1192641,1003220761,4.41
1192642,1192650,3.18
1192642,1003220765,6.21
1192642,1192614,6.51
1192642,1192624,8.3
1192643,1192651,3.53
1192643,1192645,6.6
1192644,1003220762,3.42
1192644,1192646,7.05
1192645,1003220763,4.07
1192645,1192622,6.43
1192646,1192648,3.69
1192648,1192649,3.1
1192649,1192635,5.47
1192649,1192646,5.51
1192650,1003220765,4.15
1192650,1192620,6.52
1192651,1192633,6.64
1003220761,1003220764,1.52
1003220764,1192641,4.67
1192575,1192578,2.71
1192575,1192609,2.8
1192575,1192581,4.25
1192575,1003220768,5.28
1192577,1192582,4.96
1192577,1003220768,5.59
1192577,1192579,5.85
1192577,1192604,6.52
1192578,1003220768,3.33
1192578,1192609,4.5
1192578,1192582,4.83
1192579,1192603,3.56
1192579,1192596,4.32
1192579,1192582,7.4
1192581,1192609,3.34
1192581,1192585,3.59
1192581,1192586,4.31
1192582,1003220768,1.52
1192582,1192600,4.41
1192583,1192590,3.68
1192583,1192597,6.91
1192583,1192601,8.83
1192583,1192596,10.62
1192584,1192606,1.58
1192584,1003220767,2.09
1192584,1192600,3.48
1192584,1192594,5.33
1192585,1192599,6.43
1192585,1192594,6.87
1192585,1192609,6.93
1192586,1192609,2.51
1192586,1192588,3.56
1192586,1192575,5.31
1192587,1192595,4.0
1192587,1192605,7.67
1192587,1192594,8.18
1192587,1192606,11.96
1192588,1192599,5.25
1192588,1192609,6.07
1192588,1192581,7.12
1192590,1192601,5.22
1192590,1192597,6.03
1192590,1192596,7.44
1192591,1003220767,3.62
1192591,1192600,3.77
1192591,1192592,4.97
1192591,1192584,5.34
1192592,1192603,4.41
1192592,1192601,6.51
1192592,1192579,7.77
1192594,1192606,4.04
1192594,1192595,4.18
1192594,1003220767,6.35
1192595,1192605,6.3
1192595,1192606,8.02
1192596,1192603,4.13
1192596,1192601,5.8
1192597,1192601,7.14
1192597,1192596,12.19
1192599,1192586,6.35
1192599,1192581,6.58
1192600,1003220767,3.47
1192601,1192603,6.23
1192604,1003220768,9.86
1192604,1192582,10.16
1192604,1192578,10.75
1192605,1192594,7.33
1192605,1192606,8.73
1192606,1003220767,2.38
1192606,1192600,4.93
1003220768,1192600,4.66
1192610,1192613,2.29
1192610,1192611,23.73
1192610,1192612,24.6
1192611,1192612,6.5
1192611,1192613,24.04
1192612,1192613,24.29
1192699,1003219184,40.53
1192712,1192741,7.5
1192716,1192739,7.5
1192739,1192752,7.5
1192752,1192772,7.5
1192772,1192664,7.5
1192664,1192632,7.5
1192632,1192597,7.5
1192597,1192612,7.5
1003219184,1003220762,7.5
1192721,1192734,3.0
1192734,1192763,3.0
1192763,1192771,3.0
1192771,1192673,3.0
1192673,1192651,3.0
1192651,1192583,3.0
